_openid,title,bookurl 
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,[丛书] Java开发专家,https://book.douban.com/series/28056
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Effective Java: Second Edition : Java,https://book.douban.com/subject/2696119/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Java编程思想 （第4版）,https://book.douban.com/subject/2130190/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,数据结构与算法分析 : Java语言描述,https://book.douban.com/subject/3351237/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Java并发编程实战,https://book.douban.com/subject/10484692/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Effective java 中文版（第2版）,https://book.douban.com/subject/3360807/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,深入理解Java虚拟机（第2版） : JVM高级特性与最佳实践,https://book.douban.com/subject/24722612/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Head First Java（第二版·中文版）,https://book.douban.com/subject/2000732/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Java性能优化权威指南 : Java性能优化权威指南,https://book.douban.com/subject/25828043/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Java核心技术·卷 I（原书第10版） : 基础知识,https://book.douban.com/subject/26880667/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,JAVA核心技术（卷1）,https://book.douban.com/subject/3146174/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,深入理解Java虚拟机 : JVM高级特性与最佳实践,https://book.douban.com/subject/6522893/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Java语言程序设计 : 基础篇 (原书第8版),https://book.douban.com/subject/6529833/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,深入Java虚拟机(原书第2版),https://book.douban.com/subject/1138768/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Effective Java 中文版,https://book.douban.com/subject/1103015/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Java核心技术·卷1：基础知识（原书第9版）,https://book.douban.com/subject/25762168/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,疯狂Java讲义,https://book.douban.com/subject/3246499/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Thinking in Java,https://book.douban.com/subject/1474824/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Java程序性能优化 : 让你的Java程序更快、更稳定,https://book.douban.com/subject/19969386/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Java编程思想 : 第3版,https://book.douban.com/subject/1313042/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Java并发编程的艺术,https://book.douban.com/subject/26591326/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Java入门1•2•3 : 一个老鸟的Java学习心得,https://book.douban.com/subject/4732242/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,架构探险――从零开始写Java Web框架 : 从零开始写Java Web框架,https://book.douban.com/subject/26593466/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,实战Java高并发程序设计,https://book.douban.com/subject/26663605/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,深入剖析Tomcat,https://book.douban.com/subject/10426640/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Clojure编程 : Java世界的Lisp实践,https://book.douban.com/subject/21661495/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,How Tomcat Works : A Guide to Developing Your Own Java Servlet Container,https://book.douban.com/subject/1943128/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Java多线程编程核心技术 : Java Multi-thread Programming,https://book.douban.com/subject/26555197/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,数据结构与算法分析 : Java语言描述,https://book.douban.com/subject/26745780/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,大型网站系统与Java中间件开发实践,https://book.douban.com/subject/25867042/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Java 8实战,https://book.douban.com/subject/26772632/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,分布式Java应用 : 基础与实践,https://book.douban.com/subject/4848587/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Java Concurrency in Practice,https://book.douban.com/subject/1888733/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,软件框架设计的艺术,https://book.douban.com/subject/6003832/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Java语言程序设计（基础篇 原书第10版） : Java语言程序设计,https://book.douban.com/subject/26590745/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,数据结构与算法 : Java语言版,https://book.douban.com/subject/1886305/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,深入分析Java Web技术内幕（修订版）,https://book.douban.com/subject/25953851/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Java性能权威指南,https://book.douban.com/subject/26740520/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,JAVA并发编程实践,https://book.douban.com/subject/2148132/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,JAVA 2核心技术 卷Ⅰ : 基础知识,https://book.douban.com/subject/1781451/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Effective Java中文版（第3版）,https://book.douban.com/subject/30412517/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Java网络编程(中文版 第三版)(O＇Reilly Java系列),https://book.douban.com/subject/1438754/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,自己动手写Java虚拟机,https://book.douban.com/subject/26802084/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,实战Java虚拟机 : JVM故障诊断与性能优化,https://book.douban.com/subject/26354292/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Java核心技术·卷 II（原书第10版） : 高级特性,https://book.douban.com/subject/27165931/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Java核心技术（卷2）：高级特性（原书第9版）,https://book.douban.com/subject/25841326/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,深入分析Java Web技术内幕,https://book.douban.com/subject/19965586/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Effective Java : 英文版，第2版,https://book.douban.com/subject/3998727/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,单元测试之道Java版 : 使用Junit,https://book.douban.com/subject/1239651/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Java虚拟机规范（Java SE 8版） : Java虚拟机规范,https://book.douban.com/subject/26418340/
oaqqm5GeNdxCFzEjeFcqDTCGGRtk,Java程序员修炼之道,https://book.douban.com/subject/24841235/
